Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2021-10-21,371200.0,377600.0,364800.0,371200.0,21
2021-10-22,352000.0,364800.0,339200.0,358400.0,31
2021-10-25,358400.0,364800.0,345600.0,352000.0,16
2021-10-26,371200.0,371200.0,352000.0,358400.0,26
2021-10-27,352000.0,377600.0,352000.0,371200.0,21
2021-10-28,352000.0,358400.0,345600.0,352000.0,16
2021-10-29,352000.0,358400.0,345600.0,358400.0,12
2021-11-01,371200.0,371200.0,358400.0,358400.0,16
2021-11-02,358400.0,371200.0,352000.0,371200.0,12
2021-11-03,364800.0,364800.0,352000.0,358400.0,15
2021-11-04,358400.0,371200.0,358400.0,364800.0,11
2021-11-05,352000.0,364800.0,345600.0,358400.0,23
2021-11-08,358400.0,364800.0,352000.0,352000.0,25
2021-11-09,377600.0,390400.0,358400.0,371200.0,25
2021-11-10,352000.0,371200.0,345600.0,364800.0,20
2021-11-11,345600.0,358400.0,345600.0,352000.0,21
2021-11-12,345600.0,352000.0,339200.0,345600.0,19
2021-11-15,371200.0,371200.0,345600.0,352000.0,33
2021-11-16,352000.0,364800.0,345600.0,358400.0,20
2021-11-17,339200.0,352000.0,332800.0,345600.0,22
2021-11-18,326400.0,339200.0,320000.0,339200.0,24
2021-11-19,307200.0,326400.0,307200.0,320000.0,31
2021-11-22,300800.0,313600.0,294400.0,313600.0,39
2021-11-23,313600.0,364800.0,307200.0,358400.0,122
2021-11-24,307200.0,313600.0,294400.0,313600.0,54
2021-11-26,326400.0,326400.0,307200.0,313600.0,39
2021-11-29,307200.0,332800.0,307200.0,332800.0,60
2021-11-30,300800.0,313600.0,294400.0,307200.0,32
2021-12-01,275200.0,300800.0,275200.0,294400.0,46
2021-12-02,281600.0,281600.0,262400.0,262400.0,23
2021-12-03,268800.0,281600.0,262400.0,275200.0,17
2021-12-06,262400.0,275200.0,256000.0,262400.0,33
2021-12-07,275200.0,288000.0,268800.0,268800.0,28
2021-12-08,288000.0,288000.0,268800.0,275200.0,18
2021-12-09,256000.0,288000.0,256000.0,281600.0,40
2021-12-10,243200.0,262400.0,243200.0,262400.0,43
2021-12-13,268800.0,275200.0,243200.0,243200.0,49
2021-12-14,256000.0,275200.0,256000.0,262400.0,20
2021-12-15,281600.0,281600.0,256000.0,268800.0,28
2021-12-16,262400.0,281600.0,262400.0,281600.0,21
2021-12-17,262400.0,281600.0,262400.0,262400.0,39
2021-12-20,256000.0,268800.0,249600.0,262400.0,22
2021-12-21,249600.0,256000.0,249600.0,249600.0,16
2021-12-22,256000.0,262400.0,249600.0,249600.0,16
2021-12-23,256000.0,268800.0,249600.0,256000.0,16
2021-12-27,249600.0,256000.0,249600.0,256000.0,14
2021-12-28,249600.0,256000.0,249600.0,249600.0,13
2021-12-29,230400.0,249600.0,230400.0,249600.0,18
2021-12-30,230400.0,236800.0,230400.0,236800.0,20
2021-12-31,230400.0,236800.0,230400.0,230400.0,22
2022-01-03,256000.0,256000.0,230400.0,236800.0,31
2022-01-04,236800.0,275200.0,230400.0,262400.0,26
2022-01-05,224000.0,243200.0,224000.0,236800.0,16
2022-01-06,217600.0,230400.0,211200.0,224000.0,16
2022-01-07,217600.0,224000.0,211200.0,217600.0,11
2022-01-10,204800.0,211200.0,204800.0,211200.0,15
2022-01-11,211200.0,217600.0,204800.0,211200.0,14
2022-01-12,198400.0,217600.0,192000.0,211200.0,23
2022-01-13,185600.0,198400.0,185600.0,198400.0,21
2022-01-14,185600.0,185600.0,179200.0,185600.0,18
2022-01-18,179200.0,185600.0,172800.0,179200.0,17
2022-01-19,172800.0,179200.0,166400.0,179200.0,19
2022-01-20,160000.0,172800.0,160000.0,172800.0,26
2022-01-21,147200.0,166400.0,147200.0,166400.0,38
2022-01-24,147200.0,160000.0,128000.0,134400.0,34
2022-01-25,160000.0,160000.0,147200.0,153600.0,24
2022-01-26,153600.0,166400.0,153600.0,160000.0,31
2022-01-27,140800.0,160000.0,134400.0,160000.0,34
2022-01-28,140800.0,147200.0,134400.0,140800.0,22
2022-01-31,153600.0,160000.0,147200.0,147200.0,25
2022-02-01,153600.0,166400.0,147200.0,166400.0,40
2022-02-02,147200.0,153600.0,140800.0,153600.0,32
2022-02-03,134400.0,147200.0,134400.0,140800.0,26
2022-02-04,140800.0,140800.0,134400.0,140800.0,28
2022-02-07,147200.0,153600.0,140800.0,147200.0,32
2022-02-08,140800.0,147200.0,134400.0,147200.0,35
2022-02-09,140800.0,147200.0,140800.0,147200.0,30
2022-02-10,140800.0,160000.0,134400.0,140800.0,55
2022-02-11,134400.0,147200.0,134400.0,140800.0,37
2022-02-14,128000.0,134400.0,121600.0,134400.0,34
2022-02-15,134400.0,140800.0,128000.0,134400.0,37
2022-02-16,128000.0,134400.0,128000.0,134400.0,29
2022-02-17,128000.0,134400.0,121600.0,134400.0,30
2022-02-18,115200.0,128000.0,115200.0,128000.0,43
2022-02-22,115200.0,121600.0,108800.0,115200.0,24
2022-02-23,108800.0,121600.0,108800.0,121600.0,23
2022-02-24,115200.0,115200.0,96000.0,96000.0,33
2022-02-25,115200.0,115200.0,108800.0,115200.0,15
2022-02-28,115200.0,121600.0,108800.0,115200.0,24
2022-03-01,121600.0,121600.0,115200.0,121600.0,21
2022-03-02,121600.0,134400.0,121600.0,128000.0,35
2022-03-03,160000.0,230400.0,160000.0,179200.0,614
2022-03-04,134400.0,160000.0,128000.0,153600.0,114
2022-03-07,128000.0,140800.0,128000.0,140800.0,61
2022-03-08,147200.0,147200.0,108800.0,121600.0,86
2022-03-09,147200.0,153600.0,134400.0,153600.0,61
2022-03-10,140800.0,147200.0,140800.0,140800.0,31
2022-03-11,140800.0,153600.0,140800.0,140800.0,26
2022-03-14,134400.0,147200.0,134400.0,147200.0,26
2022-03-15,134400.0,140800.0,128000.0,134400.0,22
2022-03-16,147200.0,147200.0,134400.0,134400.0,40
2022-03-17,160000.0,166400.0,140800.0,140800.0,33
2022-03-18,153600.0,166400.0,153600.0,160000.0,60
2022-03-21,153600.0,172800.0,140800.0,140800.0,50
2022-03-22,160000.0,166400.0,153600.0,153600.0,38
2022-03-23,153600.0,166400.0,153600.0,160000.0,33
2022-03-24,153600.0,153600.0,147200.0,153600.0,19
2022-03-25,147200.0,160000.0,140800.0,153600.0,24
2022-03-28,140800.0,147200.0,140800.0,147200.0,33
2022-03-29,147200.0,153600.0,140800.0,147200.0,29
2022-03-30,140800.0,147200.0,140800.0,147200.0,23
2022-03-31,147200.0,153600.0,140800.0,140800.0,108
2022-04-01,140800.0,147200.0,140800.0,147200.0,39
2022-04-04,147200.0,147200.0,140800.0,140800.0,32
2022-04-05,140800.0,147200.0,134400.0,147200.0,38
2022-04-06,134400.0,147200.0,134400.0,147200.0,60
2022-04-07,140800.0,147200.0,134400.0,140800.0,63
2022-04-08,134400.0,147200.0,134400.0,147200.0,29
2022-04-11,128000.0,134400.0,121600.0,134400.0,45
2022-04-12,115200.0,128000.0,115200.0,128000.0,44
2022-04-13,121600.0,121600.0,115200.0,121600.0,32
2022-04-14,121600.0,121600.0,115200.0,121600.0,26
2022-04-18,108800.0,121600.0,108800.0,121600.0,37
2022-04-19,115200.0,115200.0,108800.0,115200.0,20
2022-04-20,115200.0,115200.0,108800.0,115200.0,25
2022-04-21,108800.0,115200.0,108800.0,115200.0,23
2022-04-22,102400.0,108800.0,102400.0,108800.0,29
2022-04-25,102400.0,102400.0,96000.0,102400.0,25
2022-04-26,96000.0,102400.0,96000.0,102400.0,26
2022-04-27,96000.0,102400.0,96000.0,96000.0,29
2022-04-28,96000.0,96000.0,89600.0,96000.0,41
2022-04-29,96000.0,102400.0,89600.0,89600.0,22
2022-05-02,96000.0,96000.0,89600.0,89600.0,22
2022-05-03,96000.0,96000.0,89600.0,96000.0,27
2022-05-04,96000.0,102400.0,89600.0,96000.0,23
2022-05-05,89600.0,96000.0,89600.0,96000.0,25
2022-05-06,89600.0,96000.0,89600.0,89600.0,28
2022-05-09,83200.0,89600.0,83200.0,83200.0,29
2022-05-10,89600.0,89600.0,83200.0,89600.0,25
2022-05-11,70400.0,83200.0,70400.0,83200.0,54
2022-05-12,76800.0,83200.0,76800.0,76800.0,43
2022-05-13,83200.0,83200.0,76800.0,76800.0,38
2022-05-16,57600.0,83200.0,57600.0,83200.0,163
2022-05-17,44200.0,48600.0,43200.0,46400.0,176
2022-05-18,38400.0,44800.0,38200.0,44400.0,136
2022-05-19,44200.0,45200.0,39000.0,44200.0,552
2022-05-20,50800.0,51800.0,41600.0,46000.0,823
2022-05-23,47000.0,58600.0,44400.0,52000.0,1030
2022-05-24,42600.0,45000.0,42000.0,45000.0,193
